아이디,댓글 내용
  SY KIM,"희석식 소주보다 증류식 소주, 고량주, 위스키 같은 증류주가 맛도 깔끔하고 숙취가 덜해서 도수가 높아도 그쪽을 주로 마십니다 술을 여러종류 마셔보니 희석식 소주의 알콜 튀는 맛이 싫어지더라구요"
  Kwang,마시다보면 어떤날은 엄청 써서 먹기힘든날이 있고 어떤날은 너무 달콤해서 음료수처럼 느껴지는 날이 있는데 컨디션차이 일수도 있겠네요
  커피사랑 파랑새,술에서 단맛이 날 정도로 마신다는 건 음....ㅋㅋㅋㅋㅋㅋㅋ다음날 개고생 예약ㅋㅋㅋㅋ
  rui,ㅋㅋㅋㅋㅋㅋㅋ맛탱이가 가서 그랬구나… 문과와 이과의 차이 밈 같기도 하고
  sm e,"저는 쓴맛엔 민감하진 않은데, 인공적인 단 맛이 역하게 느껴져서 소주를 잘 안마셔요ㅋㅋㅋ카페의 달달한 음료나 커피는 좋아하는데 알콜에 인공적인 당이 들어가 조화롭지않은 느낌이 싫더라고요ㅋㅋ"
  태양같은너에게로 가는 길,으와 진짜 이과 느낌 문과는 하루의 여러가지 의미를 포함시키는데 ㅋㅋㅋ
  용용이,이 채널 진짜 재밌어... 맨날 듣는중
  bo bo,소주를 이어서 와인 은 어떠신가요ㅎㅎ떫은맛에 관한 것도해주세요
  단,알콜향+쓴맛때문에 싫어하는데 나이 들면서(?) 생맥주 좋아지고 파우스트도 입맛에 딱이더라구요향&맛 때문에 싫어했지만 주량과는 상관없는 것 같습니다ㅇㅂㅇ
  아니야난 동그란데,전 소주는 너무 달아서 못먹어요..쓴맛자체가 안나요 ㅜㅜ 단맛을 제하고 본다면 물에 알콜냄새 나는 기분.. 그래서 그런지 반주는 정말 못하겟드라구요 ㅜㅜ 단술과 밥을 먹으면 입맛이 뚝떨어짐.. 항상 달다고 하먼 다들 저보고 센척한다고 해서 억울했는데 이렇게 이론적으로 풀어주셔서 감사해요 ㅜㅜ
  손심바,평소에 소주 진짜 써서 별로 안좋아했는데 재수 수능 망친날 마시니까 엄청 달더라고요
  Artra,진짜로 소주가 맛있는 경우도 있었어요친구랑 간단하게 1차 하러 치킨집 갔었는데 그 때 마신 소주가 진짜 달더라구요 쓴맛이 하나도 안 느껴지고 달아서 친구랑 소주 맛집이네 하고 1차에서 각 2병씩 까고 갔습니다 담에 가보니까 맛 없더라구요 ㅋㅋㅋ
  HW  SHIN,허억... 진짜 술도 쓰고 커피도 써서 못마셨는데 나이 드니 이젠 아아 땡기는 때가 있더라구요... 그랬구나... 나이먹어서.. 으른이 되어브렀구나...
  H S.L,"이 처음 영상을 보고 한동안은 구구절절 설명했지만... 이젠 그냥 포기 했어요...ㅎ저도 초콜릿, 커피, 자몽, 술, 홍삼 이것들은 설탕에 잔뜩 절여 먹어도 굉장히 쓰게 느끼는 편이라 아아 마실때 반샷에 물 많이 타서 시럽 3펌핑하거나 기본 샷엔 6펌핑 이상 넣어 마시다보니 주변에 단거 그렇게 좋아하면 당뇨걸린다 그럴거면 시럽을 마셔라 이 소리만 백번천번 들었거든요.. 근데 전 정작 단걸 그렇게 좋아하는 것도 아니고 커피 마실때만 이렇게 마시는것 뿐이고 우유랑 설탕이 들어가야 덜 쓰게 먹을 수 있으니 (단것<<<(넘사)<<<쓴것 순으로 싫어하는 것 뿐) 그냥 커피가 필요하거나 커피 향, 맛 즐길때 그렇게 마시는 것 뿐인데...게다가 이젠 과거보다 더 쓴걸 잘 느끼고 못 견뎌서 그 어떤 달고 맛난 술도 두 잔 이상 못 마시게 되었어요 서럽"
  chimu chaku,항상 주변에서 술을 마시다보면 술이 는다고 하는게 맞는건가요 ㅋㅋㅋㅋ
  LK O,성분 설명듣는거 너무 재미있다 :)
  사랑이언니,친구들은 소주에 암컷과 수컷이 있다고 하더라구요ㅋㅋ암컷이 맛있다고요ㅋㅋㅋ또 저는 마시는 날마다 그 맛이 다르게 느껴지는데 달게 느껴지는 날은 마시다보면 사요나라죠ㅋㅋㅋ역시 쌤들은 접근법이 다르네용ㅎ
  김리,20대 내내 술자리가 좋아서 오기로 소주를 마셨는데 이젠 받아들이고 매화수로 갈아탔어요 ㅋㅋ
  발작버튼,어쩐지 소주 ㄹㅇ 진짜 쓰더라 이거 어떻게 먹지라고 맨날 생각하는데 먹으면 입에서부터 역한게 바로 느껴짐 ㄹㅇ
  김민준,"스테비아는 시간에 따라 분해되어 술마다 맛이 다를 수도 있다고 합니다,"
  Irene J,개인적으로 처음처럼은 맛없고 후레쉬 좋아하다가 진로가 맛있어서 술자리에서 진로를 자주 찾는데 과당이 더 들어가있는 거였다니...
  집좀보내주세요,딴건몰라도 진로이즈백은 진짜 눈감고 마셔도 구분하겠던데 다 이유가 있구나..
  MA!!내가 ENFP다!!,와 대박 진짜 술 역해서 한잔도 고사지내면서 먹는데 딱 오이 극혐함ㅋㅋㅋㅋㅋ 정확히 비려서 역한 느낌 너무 싱싱한 야채를 편식하는데 역해서 못먹음 샐러드도 사서 하루 이틀 놔뒀다 먹음 개신기해 유전자가 그렇구나
  까날이,이과는 확실히 갬성빌런이야
  관종이면 유튜브를 했겠지,에리스리톨은 휘발성이 강해서 고온에 요리를 할 때에는 알룰로스를 써야한다고 알고 있어요제가 에리스리톨을 넣어서 아메리카노를 마셔봤던 개인적인 경험에서는 그랬습니당
  미닝,전 알콜향하고 단맛만 느껴지지 단 한번도 쓰다고 느껴본 적이 없어요 처음 마셨을 때도 엄청 달달하네 라는 느낌이었습니다 술을 못마시는데도요.. 쓴맛을 별로 못느끼는거 같기도 한게 한약도 쓴맛보다는 단맛이고 채소도 먹으면서 쓰다고 느낀 적이 없어서 매우 좋아합니다
  잉크없는만년필,소주는 많이 안마셔봤지만...이틀 전에 생맥주 마셨는데 그게 그렇게 맛있더라고요...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐지 이거 술 아니냐 왜 맛있냐 취해서 그런가소주는 전에 마셔봤을 때는 괜찮았던 것 같아요... 근데 금방 취해서 많이는 못마심
  곰팅구리,저는 유전자 검사했더니 쓴맛유전인자 4개중에 4개 모두 변이 유전형질을 갖고 있다고 나왔어요 ㅋㅋ 제가 진짜 쓴걸 못먹거든요 편식도 심하고.. 아아도 시럽 잔뜩 넣어 먹었었는데.. 하필 또 단맛은 잘 못느끼게끔 단맛쪽 유전자도 유전변이가 있어서…ㅋㅋㅋㅋ 검사결과보고 아~! 그래서 내가~!! 싶었습니다 ㅋㅋ
  강성훈,술과 커피는 진하게 먹는게 최고죠. 쓰는건 한순간이지만 마시고나면 또 쓴순간이 기다리고 있는 게 인생같거든요.
  일만시간,평상시에 양주같이 도수 높은 술을 마시면 가끔 마시는 일반 소주는 달게 느껴짐
  B OW,자신이 술을 결정할 수 있는 술자리면 맛없는 희석식 소주 따윈 쳐다보지도 않음. 전통 발효주인 석탄주를 담가봤는데 감미료 첨가 없이도 정말 달콤한 술이 나오더군요.
  SALLY KIM,"제가 소주 달아서 안 좋아하는데 이 얘기를 하면 보통 저를 주당 취급해서 억울하더라고요ㅋㅋㅋ 맥주나 와인의 경우는 마셨을 때 특유의 쌉싸름함을 느끼거든요. 근데 소주는 희한하게 쓴 건 전혀 모르겠고, 이상한 단 맛이 입안에 너무 오래 남더라고요. 달다고 해서 과일쥬스 같은 달콤함을 말하는 것이 아니라, 되게 비식품적인 단 맛이라고 해야하나, 실험용 알코올 램프에 설탕시럽을 짜넣은 다음 들이키는 그런 느낌이었어요. 그런데 영상 보니까 이게 인공감미료 때문일 수 있겠네요. 와... 저는 원래도 음식이 단 걸 안 좋아하는데 (달아야 맛있는 디저트 류말고, 식사할 때 밑반찬이나 메인요리가 달다고 느끼면 확 입맛이 떨어져요) 그런 게 예민한 편인 가봐요. 소주 싫어하는 이유도 보통 반주를 하는데 소주 한 잔 마시면 그 뒤 뭘 먹어도 그 역한 단 맛이 입에서 계속 안 가셔서 싫은 거거든요."
  JJ,소주는 밍밍하게 달아서 손이 안가요 ㅋㅋㅋ 한라산이 맛있었지만 술자리 내내 마시면 훅가서 맥주를 선호합니다 ㅎㅎㅎ
  치코캬라멜,제가 마실 수 있는 소주는 진로랑 대선밖에 없어요. 그나마 진로가 목넘김이 제일 부드럽고 많이 쓰지도 않고 가끔은(일년에 한번정도)달게 느껴지기도 하고 다음날 숙취도 없어요. 근데 그래봤자 소주고 항상 써서 맨날 말아마십니다. 그래서 한병정도 먹고나면 혀가 마비가 되었는지 이제 맨소주도 달게 느껴져용
  anotherhome,소주 한 병도 못 마시는데 항상 달게 먹었습니다. 다만 그 단맛이 좋은 뉘앙스가 아니라서 안 먹게 되더라고요ㅋ
  이스센,"저두 쓴맛을 잘느끼는편인데...채소나 술, 커피에서도 쓴맛을 잘 느껴서 안먹는데 소주는 신기하게 달더라구요... 적포도주도 잘못먹고 맥주는 더더욱 입도 못대는데 소주만 달던 ㅋㅋㅋㅋㅋ쓴맛보다 감미료에 더 민감한건지....ㅎ"
  orion s,소주는 같은 사람이라도 컨디션&기분에 따라 달거나 쓰거나 변하는 거 다들 아실텐데
  Sia Shin,어머 이런 이과 얘기 넘죠아..감사합니당..
  Zoey Park,ㅋㅋㅋㅋ 소주맛 다다르다고 했을 때 안믿던 내친구들 보아라...나이들수록 단게 싫어서 처음처럼 멀리하고 후레시만 먹어요. 처음처럼은 뭔가 역하고 느끼한 단맛나고 후레시는 마지막에 후희에 남는 단맛...근데 기본적으로 소주는 다 단데...? 하고 스피릿으로 넘어간 인간..
  자몽하리보,어느 술도 다 맛없다고 느끼는데 밤새서 작업하거나 그날 힘들게 몸을 움직고나서 마시면 그렇게 맛있을수없던데 맛이 가서 그럴수있겠네요ㅋㅋㄱㅋㄱㅋ
  jh lee,3달 동안 설탕을 비롯한 당분을 안먹다 목표 체중 만들고 서주 먹었는데 엄청 달게 느껴지더군요.
  dngman,이상하게 어떤날은 달달하게 마시다가 훅 가서 담날 퍼스임팩트 일으킨 신지처럼 전화기 보기가 두려워지고또 어떤날은 너무 써서 반병 적당히 마시고 마는데유전자가 관여했군요
  A0912,소주 잘 안 마시지만 마라탕 집에서 밥이랑 같이 먹었던 소주는 그렇게 달았던 기억이 있네요 ㅎㅎ
  shin SB,난 이런것도 모르고 쓴맛의 대표주자인 아메리카노나 소주를 어떻게 저렇게 잘마시는지 이해를 못했다..사람마다 다른거구나.맛있는 음료는 자꾸 들어가는 것처럼 술맛이 달아서 알콜중독될 여지는 없어서 좋은것 같다.
  적설,술 맛을 알려면 한번에 털어넣고 바로 안주 먹지말고 조금씩 꺾어 마셔야됨..
  Yoo-Ri Lee,저는 일년에 한 번 술 마실까 말까인 사람인데 그나마 소주가 더 잘 들어가요. 잔이 작으니 원 샷이 잘 되거든요 ㅎㅎㅎ정말 맛있는 소주는 레몬이나 석류가 들어간 소주에요^^
  코헨조,"저는 젊었을때 술, 특히 소주 참 싫어했습니다. 그런데 .... 나이가 들어보니까 .... 이게 ... 오랜만에 술을 마시면 맛있습니다. 참 신기하죠? 그동안 계속 마셔서 그런가봅니다. 대학생 때도 술을 가끔 마시기는 했지만 맛있다고 마시지는 않았거든요. 40대 이후가 되보니 .... 맛있습니다.하지만 계속 맛있는 것은 아니구요. 첫잔, 둘째잔 정도는 아주 맛있습니다. 첫잔, 둘째잔은 안주 없어도 먹을 수 있을 정도로 맛있습니다.저는 술이 약해서 그런지 소주를 세잔 정도 마시면 맛이 쓰게 느껴집니다. 세잔부터는 안주가 꼭있어야 합니다.그리고 나서는 술취하기 위해 쓴맛 참고 마시는 거죠. 안주로 쓴맛 달래면서...."
  Dalgona,"혹시 비린내에 더 민감한 유전자도 있을 수 있을까요? 고기, 생선, 녹차 등에서 비린내를 너무 잘 느껴서 잘 안 먹어요..."
  화진이,감미료 많이들어가서 단거같음나도엄청쓰고 알코올맛이 많이나서 진짜 달게먹는걸 좋아합니다커피도 쓰게 많이 느껴서 시럽도 많이넣게됩니다
  유교노,평소엔 소주가 쓰다고 느끼는데 밤새거나 진짜 피곤한 날에는 소주다 달게 느껴질때가 있음. 물론 그 날은 평소의 1/10만 먹어도 취함
  핑쿠Pinkoo,나는 소주.모마시는데 소주 달다는 사람들은 그냥 소주를 좋아해서 말만 그렇게 하는 건줄 알았는데 진짜 소주에서 단맛을 느끼는 거였다니어쩐지 저도 아빠도 커피는 아주 단것만 마시고 술도 와인 단거 한 두잔 똑같아요 ㅎㅎ그래서 유전자의 영향인건 알았는데 소주가 진짜 단맛을 느끼는 거였다니
  귀엽다사모예드,진짜 종종 설탕물 + 알코올 향ㅋㅋㅋㅋㅋㅋㅋㅋ 참이슬만 먹고 딴 소주는 죄다 뱉어냄...
  h지영,저는 감성배제해서 너무 좋네요 ㅋㅋㅋㅋㅋ 취향임ㅋㅋㅋ
  wi kim,쓴맛의 느낌이 날마다 다를뿐.. 단맛이라고 생각해본적은 거의 없는 것 같아요 사람마다 맛이 다른거였다니…
  정정원,술이 쓰기도한데 마시면 팔다리가 아파서 새벽에 잠을못잘정도예요 ㅜㅜ 근데 또 가끔 안그럴때도 있고 왜그런지 궁금해요
  별은하수,나이가 아직 한참 애기들이라 그런지 인생의 감성을 덜 느꼈네.  혹시나 해서 무슨 말 하나 하고 들어와봤다가 그냥 웃고 갑니다.  ^^
  박지웅,공복 상태에서 3~4시간 축구 한 후에 소주 마셨을 때 단맛을 처음 느꼈네요. 그 전이나 그 후에도 단 한번도 소주의 단맛을 느껴 본 적이 없습니다.
  소영갱,"오이는 이상한 비린내 같은 게 나요ㅠㅠ 쓴맛 때문에 싫어하는 건 아닌듯... 홍삼진액, 소주 다 그닥 안 쓰다고 느끼는 사람입니다"
  ong S,와.... 그렇구나 ㅋㅋㅋㅋ 전 특이하게 처음처럼이 다음날도 깔끔하고 진로 먹으면 죽겠던데 그런 차이가..... 그리고 제가 과당차이를 느끼고 있었군여...
  안퇘오,위스키나 다른 건 다 먹는데 소주만 이상하게 역하고 쓰고 그렇더라구요.......신기한 술의 세계
  kecheol,저는 원래 술이 달았는데 코로나 걸려서 일주일 안먹다가 먹어보니까 세상 쓰더라구요 근데 어느날 뇌가 절여질때까지 마셨더니 그때부턴또 달아요 ㅎㅎ
  Kiwi,소주 뿐만아니라 모든 종류의 술을 쓰다고 느끼는 사람인데 (다른 사람들이 달달하니 맛있다고 말하는 술도 써서 못 먹음....ㅠㅠ) 유전자 때문이었군요....!
  홍민주,나이에따라 느끼는 맛이 다르다면 비린맛도 다를까요? 옛날엔 비린걸 너무 싫어했는데 지금은 어느정도는 참을 수 있어서요
  앵그린,영상에 나온 이유 말고도 제조 된 지 얼마 안된 소주는 시간이 좀 지난 소주보다 달아요!
  R ie,저는 평소에 소주의 알코올 향을 굉장히 싫어해서 술을 마셔도 꼭 맥주만 마시는 편입니다.그런데 가끔 소주가 달다고 느껴지는 때가 있는데(보통 스트레스를 받을때) 왜 그런걸까요??
  르미냥냥,"똑같은 술, 똑같은 냉장고에 보관해도언제는 달고, 언제는 쓴건....컨디션에 따른 미각세포의 민감도 차이일까요??"
  모s,아…너무 유익해서 좋다
  왹져,아주 어릴 때 부모님의 권유로 두모금 정도 마셨는 데 달고 뒤엔 살짝 알콜쓴맛이 달고 엄청 맛없었어요.. 인공감미료의 단맛이 엄청 싫었거든요..!
  fghhjyu,소주 처음 마신 날 너무 달아서 뱉었던 기억이 있는데 엄마도 달게 느껴서 못 마신다고 하셨었어요 !
